Abomasnow,ErbaGhiaccio
Drednaw,AcquaRoccia
Dreepy,DragoSpettro
Drifblim,SpettroVolante
Drifloon,SpettroVolante
Drilbur,Terra
Drizzile,Acqua
Drowzee,Psico
Druddigon,Drago
Dubwool,Normale
Ducklett,AcquaVolante
Dudunsparce,Normale
Dugtrio,Terra
Dunsparce,Normale
Duosion,Psico
Duraludon,AcciaioDrago
Durant,ColeotteroAcciaio
Dusclops,Spettro
Dusknoir,Spettro
Duskull,Spettro
Dustox,ColeotteroVeleno
Dwebble,ColeotteroRoccia
Eelektrik,Elettro
Eelektross,Elettro
Eevee,Normale
Eiscue,Ghiaccio
Ekans,Veleno
Eldegoss,Erba
Electabuzz,Elettro
Electivire,Elettro
Electrike,Elettro
Electrode,Elettro
Elekid,Elettro
Elgyem,Psico
Emboar,FuocoLotta
Emolga,ElettroVolante
Empoleon,AcquaAcciaio
Enamorus,FollettoVolante
Entei,Fuoco
Eroeferreo,FollettoLotta
Escavalier,ColeotteroAcciaio
Espathra,Psico
Espeon,Psico
Espurr,Psico
Eternatus,VelenoDrago
Excadrill,TerraAcciaio
Exeggcute,ErbaPsico
Exeggutor,ErbaPsico
Exploud,Normale
Falenaferrea,Veleno
Falinks,Lotta
Farfetch'd,NormaleVolante
Farigiraf,NormalePsico
Fearow,NormaleVolante
Feebas,Acqua
Fennekin,Fuoco
Feraligatr,Acqua
Ferroseed,ErbaAcciaio
Ferrothorn,ErbaAcciaio
Fidough,Folletto
Finizen,Acqua
Finneon,Acqua
Flaaffy,Elettro
Flabébé,Folletto
Flamigo,VolanteLotta
Flapple,ErbaDrago
Flareon,Fuoco
Fletchinder,FuocoVolante
Fletchling,NormaleVolante
Flittle,Psico
Floatzel,Acqua
Floette,Folletto
Floragato,Erba
Florges,Folletto
Flygon,TerraDrago
Fomantis,Erba
Foongus,ErbaVeleno
Forretress,ColeotteroAcciaio
Fraxure,Drago
Frigibax,DragoGhiaccio
Frillish,AcquaSpettro
Froakie,Acqua
Frogadier,Acqua
Froslass,GhiaccioSpettro
Frosmoth,GhiaccioColeottero
Fuecoco,Fuoco
Fungofurioso,ErbaBuio
Furfrou,Normale
Furret,Normale
Gabite,DragoTerra
Gallade,PsicoLotta
Galvantula,ColeotteroElettro
Garbodor,Veleno
Garchomp,DragoTerra
Gardevoir,PsicoFolletto
Garganacl,Roccia
Gastly,SpettroVeleno
Gastrodon,AcquaTerra
Genesect,ColeotteroAcciaio
Gengar,SpettroVeleno
Geodude,RocciaTerra
Gholdengo,AcciaioSpettro
Gible,DragoTerra
Gigalith,Roccia
Gimmighoul,Spettro
Girafarig,NormalePsico
Giratina,SpettroDrago
Glaceon,Ghiaccio
Glalie,Ghiaccio
Glameow,Normale
Glastrier,Ghiaccio
Gligar,TerraVolante
Glimmet,VelenoRoccia
Glimmora,VelenoRoccia
Gliscor,TerraVolante
Gloom,ErbaVeleno
Gogoat,Erba
Golbat,VelenoVolante
Goldeen,Acqua
Golduck,Acqua
Golem,RocciaTerra
Golett,TerraSpettro
Golisopod,ColeotteroAcqua
Golurk,TerraSpettro
Goodra,Drago
Goomy,Drago
Gorebyss,Acqua
Gossifleur,Erba
Gothita,Psico
Gothitelle,Psico
Gothorita,Psico
Gourgeist,SpettroErba
Grafaiai,VelenoNormale
Granbull,Folletto
Grandizanne,TerraLotta
Grapploct,Lotta
Graveler,RocciaTerra
Greavard,Spettro
Greedent,Normale
Greninja,AcquaBuio
Grimer,Veleno
Grimmsnarl,BuioFolletto
Grookey,Erba
Grotle,Erba
Groudon,Terra
Grovyle,Erba
Growlithe,Fuoco
Grubbin,Coleottero
Grumpig,Psico
Gulpin,Veleno
Gumshoos,Normale
Gurdurr,Lotta
Guzzlord,BuioDrago
Gyarados,AcquaVolante
Hakamo-o,DragoLotta
Happiny,Normale
Hariyama,Lotta
Hatenna,Psico
Hatterene,PsicoFolletto
Hattrem,Psico
Haunter,SpettroVeleno
Hawlucha,LottaVolante
Haxorus,Drago
Heatmor,Fuoco
Heatran,FuocoAcciaio
Heliolisk,ElettroNormale
Helioptile,ElettroNormale
Heracross,ColeotteroLotta
Herdier,Normale
Hippopotas,Terra
Hippowdon,Terra
Hitmonchan,Lotta
Hitmonlee,Lotta
Hitmontop,Lotta
Honchkrow,BuioVolante
Honedge,AcciaioSpettro
Ho-Oh,FuocoVolante
Hoopa,PsicoSpettro
Hoothoot,NormaleVolante
Hoppip,ErbaVolante
Horsea,Acqua
Houndoom,BuioFuoco
Houndour,BuioFuoco
Houndstone,Spettro
Huntail,Acqua
Hydreigon,BuioDrago
Hypno,Psico
Igglybuff,NormaleFolletto
Illumise,Coleottero
Impidimp,BuioFolletto
Indeedee,PsicoNormale
Infernape,FuocoLotta
Incineroar,FuocoBuio
Inkay,BuioPsico
Inteleon,Acqua
Ivysaur,ErbaVeleno
Jangmo-o,Drago
Jellicent,AcquaSpettro
Jigglypuff,NormaleFolletto
Jirachi,AcciaioPsico
Jolteon,Elettro
Joltik,ColeotteroElettro
Jumpluff,ErbaVolante
Jynx,GhiaccioPsico
Kabuto,RocciaAcqua
Kabutops,RocciaAcqua
Kadabra,Psico
Kakuna,ColeotteroVeleno
Kangaskhan,Normale
Karrablast,Coleottero
Kartana,ErbaAcciaio
Kecleon,Normale
Keldeo,AcquaLotta
Kilowattrel,VolanteElettro
Kingambit,BuioAcciaio
Kingdra,AcquaDrago
Kingler,Acqua
Kirlia,PsicoFolletto
Klang,Acciaio
Klawf,Roccia
Kleavor,ColeotteroRoccia
Klefki,AcciaioFolletto
Klink,Acciaio
Klinklang,Acciaio
Koffing,Veleno
Komala,Normale
Kommo-o,DragoLotta
Koraidon,LottaDrago
Krabby,Acqua
Kricketot,Coleottero
Kricketune,Coleottero
Krokorok,TerraBuio
Krookodile,TerraBuio
Kubfu,Lotta
Kyogre,Acqua
Kyurem,DragoGhiaccio
Lairon,AcciaioRoccia
Lampent,SpettroFuoco
Landorus,TerraVolante
Lanturn,AcquaElettro
Lapras,AcquaGhiaccio
Larvesta,ColeotteroFuoco
Larvitar,RocciaTerra
Latias,DragoPsico
Latios,DragoPsico
Leafeon,Erba
Leavanny,ColeotteroErba
Lechonk,Normale
Ledian,ColeotteroVolante
Ledyba,ColeotteroVolante
Lickilicky,Normale
Lickitung,Normale
Liepard,Buio
Lileep,RocciaErba
Lilligant,Erba
Lillipup,Normale
Linoone,Normale
Litleo,FuocoNormale
Litten,Fuoco
Litwick,SpettroFuoco
Lokix,ColeotteroBuio
Lombre,AcquaErba
Lopunny,Normale
Lotad,AcquaErba
Loudred,Normale
Lucario,LottaAcciaio
Ludicolo,AcquaErba
Lugia,PsicoVolante
Lumineon,Acqua
Lunala,PsicoSpettro
Lunaruggente,DragoBuio
Lunatone,RocciaPsico
Lurantis,Erba
Luvdisc,Acqua
Luxio,Elettro
Luxray,Elettro
Lycanroc,Roccia
Mabosstiff,Buio
Machamp,Lotta
Machoke,Lotta
Machop,Lotta
Magby,Fuoco
Magcargo,FuocoRoccia
Magearna,AcciaioFolletto
Magikarp,Acqua
Magmar,Fuoco
Magmortar,Fuoco
Magnemite,ElettroAcciaio
Magneton,ElettroAcciaio
Magnezone,ElettroAcciaio
Makuhita,Lotta
Malamar,BuioPsico
Mamoswine,GhiaccioTerra
Manaphy,Acqua
Mandibuzz,BuioVolante
Manectric,Elettro
Mankey,Lotta
Manoferrea,LottaElettro
Mantine,AcquaVolante
Mantyke,AcquaVolante
Maractus,Erba
Mareanie,VelenoAcqua
Mareep,Elettro
Marill,AcquaFolletto
Marowak,Terra
Marshadow,LottaSpettro
Marshtomp,AcquaTerra
Maschiff,Buio
Masquerain,ColeotteroVolante
Maushold,Normale
Mawile,AcciaioFolletto
Medicham,LottaPsico
Meditite,LottaPsico
Meganium,Erba
Melmetal,Acciaio
Meloetta,NormalePsico
Meltan,Acciaio
Meowscarada,ErbaBuio
Meowstic,Psico
Meowth,Normale
Mesprit,Psico
Metagross,AcciaioPsico
Metang,AcciaioPsico
Metapod,Coleottero
Mew,Psico
Mewtwo,Psico
Mienfoo,Lotta
Mienshao,Lotta
Mightyena,Buio
Milcery,Folletto
Milotic,Acqua
Miltank,Normale
MimeJr.,PsicoFolletto
Mimikyu,SpettroFolletto
Minccino,Normale
Minior,RocciaVolante
Minun,Elettro
Miraidon,Sconosciuto
Misdreavus,Spettro
Mismagius,Spettro
Moltres,FuocoVolante
Monferno,FuocoLotta
Morelull,ErbaFolletto
Morgrem,BuioFolletto
Morpeko,ElettroBuio
Mothim,ColeotteroVolante
Mr.Mime,PsicoFolletto
Mr.Rime,GhiaccioPsico
Mudbray,Terra
Mudkip,Acqua
Mudsdale,Terra
Muk,Veleno
Munchlax,Normale
Munna,Psico
Murkrow,BuioVolante
Musharna,Psico
Nacli,Roccia
Naclstack,Roccia
Naganadel,VelenoDrago
Natu,PsicoVolante
Necrozma,Psico
Nickit,Buio
Nidoking,VelenoTerra
Nidoqueen,VelenoTerra
Nidoran♀,Veleno
Nidoran♂,Veleno
Nidorina,Veleno
Nidorino,Veleno
Nihilego,RocciaVeleno
Nincada,ColeotteroTerra
Ninetales,Fuoco
Ninjask,ColeotteroVolante
Noctowl,NormaleVolante
Noibat,VolanteDrago
Noivern,VolanteDrago
Nosepass,Roccia
Numel,FuocoTerra
Nuzleaf,ErbaBuio
Nymble,Coleottero
Obstagoon,BuioNormale
Octillery,Acqua
Oddish,ErbaVeleno
Oinkologne,Normale
Omanyte,RocciaAcqua
Omastar,RocciaAcqua
Onix,RocciaTerra
Oranguru,NormalePsico
Orbeetle,ColeotteroPsico
Oricorio,FuocoVolante
Orthworm,Acciaio
Oshawott,Acqua
Overqwil,BuioVeleno
Pachirisu,Elettro
Palafin,Acqua
Palkia,AcquaDrago
Palossand,SpettroTerra
Palpitoad,AcquaTerra
Pancham,Lotta
Pangoro,LottaBuio
Panpour,Acqua
Pansage,Erba
Pansear,Fuoco
Paras,ColeotteroErba
Parasect,ColeotteroErba
Passimian,Lotta
Patrat,Normale
Pawmi,Elettro
Pawmo,ElettroLotta
Pawmot,ElettroLotta
Pawniard,BuioAcciaio
Peldisabbia,ElettroTerra
Pelipper,AcquaVolante
Perrserker,Acciaio
Persian,Normale
Petilil,Erba
Phanpy,Terra
Phantump,SpettroErba
Pheromosa,ColeotteroLotta
Phione,Acqua
Pichu,Elettro
Pidgeot,NormaleVolante
Pidgeotto,NormaleVolante
Pidgey,NormaleVolante
Pidove,NormaleVolante
Pignite,FuocoLotta
Pikachu,Elettro
Pikipek,NormaleVolante
Piloswine,GhiaccioTerra
Pincurchin,Elettro
Pineco,Coleottero
Pinsir,Coleottero
Piplup,Acqua
Plusle,Elettro
Poipole,Veleno
Politoed,Acqua
Poliwag,Acqua
Poliwhirl,Acqua
Poliwrath,AcquaLotta
Polteageist,Spettro
Ponyta,Fuoco
Poochyena,Buio
Popplio,Acqua
Porygon,Normale
Porygon2,Normale
Porygon-Z,Normale
Primarina,AcquaFolletto
Primeape,Lotta
Prinplup,Acqua
Probopass,RocciaAcciaio
Psyduck,Acqua
Pumpkaboo,SpettroErba
Pupitar,RocciaTerra
Purrloin,Buio
Purugly,Normale
Pyroar,FuocoNormale
Pyukumuku,Acqua
Quagsire,AcquaTerra
Quaquaval,AcquaLotta
Quaxly,Acqua
Quaxwell,Acqua
Quilava,Fuoco
Quilladin,Erba
Qwilfish,AcquaVeleno
Raboot,Fuoco
Rabsca,ColeotteroPsico
Raichu,Elettro
Raikou,Elettro
Ralts,PsicoFolletto
Rampardos,Roccia
Rapidash,Fuoco
Raticate,Normale
Rattata,Normale
Rayquaza,DragoVolante
Regice,Ghiaccio
Regidrago,Drago
Regieleki,Elettro
Regigigas,Normale
Regirock,Roccia
Registeel,Acciaio
Relicanth,AcquaRoccia
Rellor,Coleottero
Remoraid,Acqua
Reshiram,DragoFuoco
Reuniclus,Psico
Revavroom,VelenoAcciaio
Rhydon,TerraRoccia
Rhyhorn,TerraRoccia
Rhyperior,TerraRoccia
Ribombee,ColeotteroFolletto
Rillaboom,Erba
Riolu,Lotta
Rockruff,Roccia
Roggenrola,Roccia
Rolycoly,Roccia
Rookidee,Volante
Roselia,ErbaVeleno
Roserade,ErbaVeleno
Rotom,ElettroSpettro
Rowlet,ErbaVolante
Rufflet,NormaleVolante
Runerigus,TerraSpettro
Sableye,BuioSpettro
Saccoferreo,GhiaccioAcqua
Salamence,DragoVolante
Salandit,VelenoFuoco
Salazzle,VelenoFuoco
Samurott,Acqua
Sandaconda,Terra
Sandile,TerraBuio
Sandshrew,Terra
Sandslash,Terra
Sandygast,SpettroTerra
Sawk,Lotta
Sawsbuck,NormaleErba
Scatterbug,Coleottero
Sceptile,Erba
Scizor,ColeotteroAcciaio
Scolipede,ColeotteroVeleno
Scorbunny,Fuoco
Scovillain,ErbaFuoco
Scrafty,BuioLotta
Scraggy,BuioLotta
Scyther,ColeotteroVolante
Seadra,Acqua
Seaking,Acqua
Sealeo,GhiaccioAcqua
Seedot,Erba
Seel,Acqua
Seismitoad,AcquaTerra
Sentret,Normale
Serperior,Erba
Servine,Erba
Seviper,Veleno
Sewaddle,ColeotteroErba
Sharpedo,AcquaBuio
Shaymin,Erba
Shedinja,ColeotteroSpettro
Shelgon,Drago
Shellder,Acqua
Shellos,Acqua
Shelmet,Coleottero
Shieldon,RocciaAcciaio
Shiftry,ErbaBuio
Shiinotic,ErbaFolletto
Shinx,Elettro
Shroodle,VelenoNormale
Shroomish,Erba
Shuckle,ColeotteroRoccia
Shuppet,Spettro
Sigilyph,PsicoVolante
Silcoon,Coleottero
Silicobra,Terra
Silvally,Normale
Simipour,Acqua
Simisage,Erba
Simisear,Fuoco
Sinistea,Spettro
Sirfetch'd,Lotta
Sizzlipede,FuocoColeottero
Skarmory,AcciaioVolante
Skeledirge,FuocoSpettro
Skiddo,Erba
Skiploom,ErbaVolante
Skitty,Normale
Skorupi,VelenoColeottero
Skrelp,VelenoAcqua
Skuntank,VelenoBuio
Skwovet,Normale
Slaking,Normale
Slakoth,Normale
Sliggoo,Drago
Slowbro,AcquaPsico
Slowking,AcquaPsico
Slowpoke,AcquaPsico
Slugma,Fuoco
Slurpuff,Folletto
Smeargle,Normale
Smoliv,ErbaNormale
Smoochum,GhiaccioPsico
Sneasel,BuioGhiaccio
Sneasler,LottaVeleno
Snivy,Erba
Snom,GhiaccioColeottero
Snorlax,Normale
Snorunt,Ghiaccio
Snover,ErbaGhiaccio
Snubbull,Folletto
Sobble,Acqua
Solcoferreo,TerraAcciaio
Solgaleo,PsicoAcciaio
Solosis,Psico
Solrock,RocciaPsico
Spearow,NormaleVolante
Spectrier,Spettro
Spewpa,Coleottero
Spheal,GhiaccioAcqua
Spidops,Coleottero
Spinarak,ColeotteroVeleno
Spinda,Normale
Spineferree,RocciaElettro
Spiritomb,SpettroBuio
Spoink,Psico
Sprigatito,Erba
Spritzee,Folletto
Squawkabilly,NormaleVolante
Squirtle,Acqua
Stakataka,Ro
